score,dealer_id,region,monthly_capacity_units,financial_health,infrastructure,on_time_delivery_pct,response_time_hrs
0.87,D097,West,869,100.0,73.3,84.0,6.5
0.864,D048,North,548,71.4,94.1,93.6,11.6
0.856,D051,North,742,98.2,75.6,97.3,15.5
0.843,D014,South,350,95.9,86.2,70.5,2.2
0.837,D013,South,234,94.8,96.2,62.7,2.6
0.823,D057,West,776,88.1,79.6,86.2,5.1
0.822,D076,North,620,95.9,80.4,87.3,15.5
0.816,D075,North,279,75.1,88.9,85.2,9.5
0.811,D034,West,866,83.7,92.2,66.8,3.1
0.81,D068,North,534,100.0,62.7,88.5,21.0
